Party,Turnout,Race,Education,Children,Employment,FamilyIncome,VotingMethod,GayMarriage,DeathPenalty,UniHealthCare,GlobalWarming,TradePolicy,GenderEquality
Democratic Party,Yes,Hispanic,18,No,Full-time,130000.0,In person on election day,Favor,Favor the death penalty,No,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,Asian,18,Yes,Full-time,175000.0,In person on election day,Favor,Don't know,Yes,Definitely is happening,Favor,Men and women have equal opportunities
Republican Party,Yes,White,18,No,Full-time,75000.0,In person on election day,Oppose,Opposed to the death penalty,No,Probably is not happening,Don't know,Men and women have equal opportunities
Republican Party,Yes,White,12,No,Full-time,110000.0,In person on election day,Don't know,Favor the death penalty,No,Probably is happening,Oppose,Men and women have equal opportunities
Republican Party,Yes,Black,18,No,Full-time,75000.0,In person on election day,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,12,No,Full-time,65000.0,In person on election day,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,Hispanic,16,Yes,Homemaker,,In person before the election,Oppose,Favor the death penalty,No,Probably is not happening,Favor,Men and women have equal opportunities
Democratic Party,Yes,White,16,No,Full-time,175000.0,In person on election day,Favor,Opposed to the death penalty,Yes,Definitely is happening,Don't know,Men have more opportunities than women
Democratic Party,Yes,White,18,No,Full-time,75000.0,In person on election day,Oppose,Favor the death penalty,No,Definitely is not happening,Oppose,Men and women have equal opportunities
Democratic Party,Yes,White,13,No,Retired,25000.0,In person on election day,Oppose,Opposed to the death penalty,Don't know,Probably is happening,Oppose,Men and women have equal opportunities
Republican Party,Yes,White,18,No,Retired,90000.0,By mail,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,16,No,Full-time,110000.0,In person on election day,Don't know,Don't know,No,Probably is happening,Don't know,Men have more opportunities than women
Republican Party,Yes,White,18,No,Retired,130000.0,In person before the election,Favor,Favor the death penalty,No,Probably is happening,Don't know,Men and women have equal opportunities
Republican Party,Yes,White,13,No,Part-time,130000.0,By mail,Favor,Don't know,Yes,Definitely is happening,Don't know,Men have more opportunities than women
Republican Party,Yes,Other,18,No,Full-time,175000.0,In person before the election,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,18,No,Retired,45000.0,By mail,Favor,Opposed to the death penalty,Yes,Definitely is happening,Don't know,Men have more opportunities than women
Democratic Party,Yes,White,16,No,Full-time,75000.0,In person on election day,Favor,Opposed to the death penalty,Yes,Definitely is happening,Don't know,Men have more opportunities than women
Democratic Party,Yes,Black,18,No,Full-time,75000.0,By mail,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men and women have equal opportunities
Democratic Party,Yes,White,16,Yes,Full-time,425000.0,By mail,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,13,No,Full-time,,In person on election day,Favor,Opposed to the death penalty,Yes,Probably is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,12,No,Retired,35000.0,In person on election day,Don't know,Favor the death penalty,No,Probably is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,18,No,Full-time,45000.0,In person before the election,Oppose,Don't know,Don't know,Probably is not happening,Favor,Women have more opportunities than men
Republican Party,Yes,Other,16,No,Retired,55000.0,By mail,Oppose,Favor the death penalty,No,Definitely is not happening,Favor,Men and women have equal opportunities
Democratic Party,Yes,White,18,No,Retired,175000.0,In person on election day,Favor,Don't know,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,No,White,8,No,Full-time,35000.0,,Favor,Opposed to the death penalty,Yes,Definitely is happening,Don't know,Don't know
Democratic Party,Yes,White,13,No,Permanently disabled,,In person before the election,Favor,Opposed to the death penalty,Yes,Definitely is happening,Don't know,Men have more opportunities than women
Republican Party,Yes,White,16,No,Part-time,130000.0,In person on election day,Oppose,Favor the death penalty,No,Don't know,Favor,Men and women have equal opportunities
Republican Party,Yes,White,18,No,Full-time,225000.0,By mail,Favor,Don't know,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,16,Yes,Full-time,55000.0,In person on election day,Favor,Opposed to the death penalty,Yes,Definitely is happening,Don't know,Men have more opportunities than women
Democratic Party,Yes,White,13,No,Retired,75000.0,In person on election day,Favor,Favor the death penalty,Yes,Probably is happening,Don't know,Men have more opportunities than women
Republican Party,Yes,White,13,No,Full-time,,By mail,Favor,Don't know,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,16,Yes,Full-time,,In person on election day,Oppose,Favor the death penalty,No,Definitely is not happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,16,Yes,Full-time,90000.0,In person on election day,Favor,Favor the death penalty,No,Probably is happening,Favor,Men and women have equal opportunities
Republican Party,Yes,White,12,No,Other,,In person on election day,Favor,Favor the death penalty,No,Definitely is happening,,Men have more opportunities than women
Republican Party,Yes,White,13,No,Full-time,130000.0,In person on election day,Favor,Favor the death penalty,No,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,13,Yes,Part-time,35000.0,In person on election day,Oppose,Opposed to the death penalty,No,Definitely is not happening,Favor,Men and women have equal opportunities
Republican Party,Yes,Hispanic,18,No,Full-time,175000.0,In person on election day,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,13,Yes,Full-time,45000.0,By mail,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,Other,13,Yes,Full-time,175000.0,In person on election day,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men and women have equal opportunities
Republican Party,Yes,White,13,No,Retired,110000.0,In person on election day,Favor,Favor the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,Black,18,No,Full-time,175000.0,In person before the election,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,16,No,Full-time,,In person on election day,Oppose,Favor the death penalty,No,Definitely is not happening,Favor,Men and women have equal opportunities
Republican Party,Yes,Mixed,13,No,Retired,,By mail,Oppose,Opposed to the death penalty,No,Don't know,Don't know,Men and women have equal opportunities
Republican Party,Yes,White,13,No,Retired,55000.0,In person on election day,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,18,No,Full-time,,In person on election day,Favor,Opposed to the death penalty,Yes,Definitely is happening,Don't know,Men have more opportunities than women
Republican Party,Yes,White,16,No,Full-time,130000.0,In person before the election,Favor,Opposed to the death penalty,No,Probably is happening,Favor,Men and women have equal opportunities
Republican Party,Yes,White,16,No,Full-time,65000.0,In person on election day,Favor,Opposed to the death penalty,Yes,Probably is happening,Oppose,Men have more opportunities than women
Democratic Party,Yes,White,16,No,Full-time,75000.0,In person on election day,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,16,No,Retired,,In person on election day,Oppose,Favor the death penalty,No,Definitely is not happening,Favor,Don't know
Republican Party,Yes,White,13,No,Retired,,In person on election day,Favor,Favor the death penalty,Yes,Definitely is happening,Favor,Men and women have equal opportunities
Republican Party,Yes,White,18,No,Permanently disabled,65000.0,By mail,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,18,No,Unemployed,90000.0,In person on election day,Favor,Opposed to the death penalty,Yes,Definitely is happening,Don't know,Men have more opportunities than women
Democratic Party,Yes,White,16,Yes,Full-time,175000.0,In person on election day,Oppose,Favor the death penalty,No,Probably is happening,Favor,Men and women have equal opportunities
Democratic Party,Yes,White,13,Yes,Full-time,90000.0,In person on election day,Favor,Favor the death penalty,No,Probably is happening,Favor,Men and women have equal opportunities
Republican Party,,White,18,No,Part-time,,,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,No,White,16,No,Full-time,,,Oppose,Opposed to the death penalty,Yes,Probably is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,16,No,Part-time,,In person on election day,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Don't know
Democratic Party,Yes,White,18,No,Full-time,300000.0,By mail,Oppose,Favor the death penalty,No,Definitely is not happening,Favor,Men and women have equal opportunities
Democratic Party,Yes,Mixed,13,No,Full-time,130000.0,In person on election day,Don't know,Favor the death penalty,No,Definitely is not happening,Favor,Men and women have equal opportunities
Republican Party,Yes,White,18,Yes,Full-time,90000.0,In person on election day,Favor,Opposed to the death penalty,No,Probably is not happening,Don't know,Men and women have equal opportunities
Republican Party,Yes,White,13,No,Homemaker,110000.0,By mail,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,16,No,Full-time,300000.0,In person on election day,Favor,Favor the death penalty,No,Probably is not happening,Favor,Men and women have equal opportunities
Democratic Party,Yes,White,18,Yes,Full-time,500000.0,In person on election day,Favor,Don't know,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,18,No,Full-time,130000.0,In person on election day,Don't know,Favor the death penalty,Don't know,Definitely is happening,Favor,Women have more opportunities than men
Republican Party,Yes,White,16,No,Full-time,55000.0,In person before the election,Favor,Favor the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,16,No,Full-time,225000.0,In person on election day,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,16,No,Full-time,110000.0,In person before the election,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,18,No,Retired,300000.0,In person before the election,Oppose,Favor the death penalty,No,Probably is happening,Favor,Men and women have equal opportunities
Democratic Party,Yes,White,16,No,Full-time,130000.0,In person before the election,Favor,Favor the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,18,No,Full-time,425000.0,In person on election day,Favor,Favor the death penalty,Yes,Definitely is not happening,Oppose,Women have more opportunities than men
Republican Party,Yes,White,12,No,Unemployed,55000.0,In person before the election,Oppose,Favor the death penalty,Yes,Definitely is happening,Favor,Women have more opportunities than men
Democratic Party,Yes,White,12,Yes,Full-time,90000.0,By mail,Oppose,Favor the death penalty,No,Definitely is not happening,Don't know,Men and women have equal opportunities
Republican Party,Yes,White,16,No,Full-time,45000.0,By mail,Favor,Opposed to the death penalty,No,Probably is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,16,No,Unemployed,,In person on election day,Oppose,Opposed to the death penalty,Don't know,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,18,No,Part-time,110000.0,By mail,Oppose,Favor the death penalty,No,Probably is not happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,13,No,Retired,15000.0,By mail,Favor,Don't know,Yes,Definitely is happening,Oppose,Men have more opportunities than women
Democratic Party,Yes,White,18,No,Part-time,75000.0,In person before the election,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,16,Yes,Full-time,65000.0,By mail,Favor,Favor the death penalty,No,Definitely is happening,Don't know,Men and women have equal opportunities
Republican Party,Yes,White,12,No,Retired,,In person on election day,Favor,Favor the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,16,No,Retired,,By mail,Don't know,Opposed to the death penalty,No,Probably is not happening,Don't know,Men and women have equal opportunities
Republican Party,Yes,Hispanic,13,No,Retired,35000.0,In person before the election,Don't know,Opposed to the death penalty,No,Definitely is happening,Don't know,Men have more opportunities than women
Democratic Party,Yes,White,13,Yes,Full-time,25000.0,In person on election day,Oppose,Favor the death penalty,No,Probably is not happening,Don't know,Men and women have equal opportunities
Republican Party,Yes,White,13,No,Full-time,35000.0,In person before the election,Favor,Opposed to the death penalty,No,Probably is not happening,Favor,Don't know
Republican Party,Yes,White,18,No,Full-time,130000.0,In person before the election,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,18,No,Full-time,175000.0,In person on election day,Don't know,Don't know,No,Don't know,Favor,Men and women have equal opportunities
Republican Party,Yes,White,16,No,Other,,In person before the election,Oppose,Favor the death penalty,No,Probably is not happening,Favor,Men and women have equal opportunities
Republican Party,Yes,White,12,No,Full-time,90000.0,By mail,Favor,Favor the death penalty,No,Probably is not happening,Don't know,Men have more opportunities than women
Republican Party,Yes,White,13,No,Part-time,15000.0,In person on election day,Favor,Opposed to the death penalty,No,Definitely is not happening,Don't know,Men and women have equal opportunities
Republican Party,Yes,White,16,No,Full-time,110000.0,In person before the election,,Favor the death penalty,No,Probably is not happening,Favor,Men and women have equal opportunities
Republican Party,Yes,White,18,No,Full-time,130000.0,By mail,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,16,No,Permanently disabled,,In person on election day,Oppose,Favor the death penalty,No,Probably is happening,Don't know,Men and women have equal opportunities
Democratic Party,Yes,Hispanic,16,Yes,Full-time,45000.0,In person before the election,Favor,Opposed to the death penalty,Yes,Definitely is happening,Don't know,Men have more opportunities than women
Republican Party,Yes,White,16,Yes,Full-time,175000.0,In person before the election,Favor,Don't know,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,18,No,Full-time,225000.0,In person before the election,Don't know,Don't know,No,Definitely is happening,Favor,Men and women have equal opportunities
Republican Party,Yes,White,16,No,Full-time,,In person on election day,Oppose,Don't know,No,Definitely is not happening,Favor,Men and women have equal opportunities
Republican Party,Yes,White,16,No,Full-time,110000.0,In person before the election,Favor,Favor the death penalty,Yes,Definitely is happening,Don't know,Men have more opportunities than women
Democratic Party,Yes,White,12,No,Retired,35000.0,By mail,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,16,No,Full-time,75000.0,In person before the election,Oppose,Favor the death penalty,No,Probably is not happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,16,Yes,Full-time,110000.0,In person on election day,Oppose,Don't know,No,Probably is happening,Don't know,Men and women have equal opportunities
Democratic Party,Yes,White,13,No,Part-time,55000.0,In person on election day,Oppose,Favor the death penalty,No,Definitely is not happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,16,No,Full-time,110000.0,In person on election day,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,16,No,Full-time,110000.0,In person on election day,Favor,Opposed to the death penalty,Yes,Probably is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,18,No,Full-time,225000.0,In person on election day,Favor,Favor the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,16,Yes,Full-time,75000.0,In person on election day,Oppose,Favor the death penalty,No,Definitely is happening,Oppose,Men and women have equal opportunities
Republican Party,Yes,White,16,Yes,Full-time,,In person on election day,Favor,Favor the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,13,No,Retired,175000.0,In person before the election,Oppose,Favor the death penalty,No,Definitely is not happening,Favor,Men and women have equal opportunities
Democratic Party,No,White,18,No,Retired,,,Favor,Favor the death penalty,Yes,Definitely is happening,Don't know,Men and women have equal opportunities
Republican Party,Yes,Black,16,No,Full-time,65000.0,In person before the election,Favor,Opposed to the death penalty,Yes,Don't know,Don't know,Men have more opportunities than women
Democratic Party,Yes,White,13,No,Other,45000.0,In person on election day,Oppose,Favor the death penalty,No,Definitely is happening,Don't know,Men and women have equal opportunities
Democratic Party,Yes,White,16,No,Part-time,75000.0,By mail,Favor,Don't know,Yes,Definitely is not happening,Don't know,Don't know
